CMDLINE ./proj3 test/usa.txt test/usa100.txt
MEM 0.308594 1542678034.4313
MEM 8.671875 1542678034.5366
MEM 10.113281 1542678034.6405
MEM 11.726562 1542678034.7422
MEM 12.671875 1542678034.8448
MEM 13.769531 1542678034.9451
MEM 13.769531 1542678035.0456
MEM 14.035156 1542678035.1459
MEM 14.035156 1542678035.2464
MEM 14.035156 1542678035.3516
MEM 14.035156 1542678035.4554
MEM 14.035156 1542678035.5587
MEM 14.035156 1542678035.6631
MEM 14.035156 1542678035.7639
MEM 14.035156 1542678035.8656
MEM 14.035156 1542678035.9658
MEM 14.035156 1542678036.0702
MEM 14.347656 1542678036.1754
MEM 14.347656 1542678036.2778
MEM 14.347656 1542678036.3783
MEM 14.347656 1542678036.4821
MEM 14.347656 1542678036.5825
MEM 14.347656 1542678036.6851
MEM 14.347656 1542678036.7873
MEM 14.347656 1542678036.8925
MEM 14.347656 1542678036.9954
MEM 14.347656 1542678037.0984
MEM 14.347656 1542678037.1994
MEM 14.347656 1542678037.3047
MEM 14.347656 1542678037.4073
MEM 14.347656 1542678037.5119
MEM 14.355469 1542678037.6135
MEM 14.363281 1542678037.7155
MEM 14.363281 1542678037.8191
MEM 14.367188 1542678037.9216
MEM 14.367188 1542678038.0224
MEM 14.367188 1542678038.1246
MEM 14.367188 1542678038.2291
MEM 14.367188 1542678038.3321
MEM 14.367188 1542678038.4373
MEM 14.367188 1542678038.5389
MEM 14.367188 1542678038.6441
CMDLINE ./proj3 test/usa.txt test/usa100.txt
MEM 0.300781 1542678277.7961
MEM 8.679688 1542678277.8992
MEM 10.437500 1542678278.0014
MEM 11.785156 1542678278.1047
MEM 11.800781 1542678278.2061
MEM 12.046875 1542678278.3093
MEM 12.542969 1542678278.4100
MEM 12.875000 1542678278.5103
MEM 13.195312 1542678278.6134
MEM 13.367188 1542678278.7186
MEM 13.437500 1542678278.8224
MEM 13.437500 1542678278.9266
MEM 13.808594 1542678279.0270
MEM 13.808594 1542678279.1274
MEM 13.808594 1542678279.2305
MEM 13.808594 1542678279.3332
MEM 13.808594 1542678279.4369
MEM 13.808594 1542678279.5395
MEM 14.003906 1542678279.6398
MEM 14.003906 1542678279.7409
MEM 14.003906 1542678279.8434
MEM 14.085938 1542678279.9443
MEM 14.492188 1542678280.0483
MEM 14.492188 1542678280.1508
MEM 14.492188 1542678280.2561
MEM 14.492188 1542678280.3610
MEM 14.492188 1542678280.4616
MEM 14.492188 1542678280.5643
MEM 14.492188 1542678280.6676
MEM 14.492188 1542678280.7725
MEM 14.492188 1542678280.8773
MEM 14.492188 1542678280.9787
MEM 14.496094 1542678281.0792
MEM 14.496094 1542678281.1797
MEM 14.496094 1542678281.2799
MEM 14.496094 1542678281.3802
MEM 14.496094 1542678281.4825
MEM 14.496094 1542678281.5877
MEM 14.496094 1542678281.6909
MEM 14.496094 1542678281.7940
MEM 14.496094 1542678281.8964
MEM 14.496094 1542678282.0004
MEM 13.496094 1542678282.1031
CMDLINE ./proj3 test/usa.txt test/usa100.txt
MEM 0.894531 1542680723.4217
MEM 14.476562 1542680723.5235
MEM 14.558594 1542680723.6242
MEM 14.558594 1542680723.7247
MEM 14.558594 1542680723.8255
MEM 14.558594 1542680723.9261
MEM 14.558594 1542680724.0272
MEM 14.558594 1542680724.1279
MEM 14.558594 1542680724.2295
MEM 14.558594 1542680724.3301
MEM 14.558594 1542680724.4308
MEM 14.558594 1542680724.5314
MEM 14.558594 1542680724.6334
MEM 14.558594 1542680724.7346
MEM 14.558594 1542680724.8355
MEM 14.558594 1542680724.9362
MEM 14.558594 1542680725.0372
MEM 14.558594 1542680725.1378
MEM 14.558594 1542680725.2383
MEM 14.558594 1542680725.3393
MEM 14.558594 1542680725.4398
MEM 14.558594 1542680725.5412
MEM 14.558594 1542680725.6420
MEM 14.558594 1542680725.7449
MEM 14.558594 1542680725.8458
MEM 14.558594 1542680725.9463
MEM 14.558594 1542680726.0478
MEM 14.558594 1542680726.1495
MEM 14.558594 1542680726.2504
MEM 14.558594 1542680726.3524
MEM 14.558594 1542680726.4534
MEM 14.558594 1542680726.5551
MEM 14.558594 1542680726.6562
MEM 14.558594 1542680726.7567
MEM 14.558594 1542680726.8574
MEM 14.558594 1542680726.9589
MEM 14.558594 1542680727.0604
MEM 14.558594 1542680727.1616
MEM 14.558594 1542680727.2634
MEM 14.558594 1542680727.3639
MEM 14.558594 1542680727.4657
CMDLINE ./proj3 test/usa.txt test/usa100.txt
MEM 0.839844 1542680756.0026
MEM 14.421875 1542680756.1044
MEM 14.503906 1542680756.2061
MEM 14.503906 1542680756.3067
MEM 14.503906 1542680756.4094
MEM 14.503906 1542680756.5100
MEM 14.503906 1542680756.6108
MEM 14.503906 1542680756.7113
MEM 14.503906 1542680756.8128
MEM 14.503906 1542680756.9139
MEM 14.503906 1542680757.0149
MEM 14.503906 1542680757.1168
MEM 14.503906 1542680757.2191
MEM 14.503906 1542680757.3200
MEM 14.503906 1542680757.4208
MEM 14.503906 1542680757.5219
MEM 14.503906 1542680757.6229
MEM 14.503906 1542680757.7247
MEM 14.503906 1542680757.8258
MEM 14.503906 1542680757.9269
MEM 14.503906 1542680758.0299
MEM 14.503906 1542680758.1309
MEM 14.503906 1542680758.2315
MEM 14.503906 1542680758.3323
MEM 14.503906 1542680758.4339
MEM 14.503906 1542680758.5352
MEM 14.503906 1542680758.6367
MEM 14.503906 1542680758.7385
MEM 14.503906 1542680758.8394
MEM 14.503906 1542680758.9401
MEM 14.503906 1542680759.0409
MEM 14.503906 1542680759.1425
